ID,Compound,SMILES,Rt,MW,LogP,HBD,HBA,TPSA,Valid
1.0,Tricyclene,CC1(C2CC3C1(C3C2)C)C,13.421,136.238,2.6885000000000012,0,0,0.0,True
2.0,α-Thujene,CC1=CCC2(C1C2)C(C)C,13.75,136.238,2.9987000000000013,0,0,0.0,True
3.0,α-Pinene,CC1=CCC2CC1C2(C)C,14.133,136.238,2.9987000000000013,0,0,0.0,True
4.0,Camphene,CC1(C2CCC(C2)C1=C)C,14.834,136.238,2.9987000000000013,0,0,0.0,True
5.0,Thuja-2.4(10)-diene,CC(C)C12CC1C(=C)C=C2,15.111,134.22199999999998,2.774700000000001,0,0,0.0,True
6.0,Sabinene,CC(C)C12CCC(=C)C1C2,16.17,136.23799999999997,2.9987000000000013,0,0,0.0,True
7.0,β-Pinene,CC1(C2CCC(=C)C1C2)C,16.265,136.238,2.9987000000000013,0,0,0.0,True
8.0,1-octen-3-ol,CCCCCC(C=C)O,16.516,128.21499999999997,2.1136000000000004,1,1,20.23,True
9.0,3-octanone,CCCCCC(=O)CC,16.855,128.21499999999997,2.5458000000000007,0,1,17.07,True
10.0,β-Myrcene,CC(=CCCC(=C)C=C)C,17.119,136.238,3.4750000000000023,0,0,0.0,True
11.0,3-octanol,CCCCCC(CC)O,17.367,130.231,2.3376000000000006,1,1,20.23,True
12.0,α-Phellandrene,CC1=CCC(C=C1)C(C)C,17.735,136.23799999999997,3.1648000000000023,0,0,0.0,True
13.0,δ-3-Carene,CC1=CCC2C(C1)C2(C)C,18.004,136.238,2.9987000000000013,0,0,0.0,True
14.0,α-Terpinene,CC1=CC=C(CC1)C(C)C,18.587,136.238,3.308900000000002,0,0,0.0,True
15.0,ρ-cymene,CC1=CC=C(C=C1)C(C)C,18.824,134.22199999999998,3.118420000000002,0,0,0.0,True
16.0,Limonene,CC1=CCC(CC1)C(=C)C,19.095,136.238,3.308900000000002,0,0,0.0,True
17.0,1.8-Cineole,CC1(C2CCC(O1)(CC2)C)C,19.204,154.25300000000001,2.7441000000000013,0,1,9.23,True
18.0,trans-β-Ocimene,CC(=CC/C=C(\\C)/C=C)C,19.555,136.238,3.4750000000000023,0,0,0.0,True
19.0,cis-β-Ocimene,CC(=CC/C=C(/C)\\C=C)C,20.079,136.238,3.4750000000000023,0,0,0.0,True
20.0,γ-Terpinene,CC1=CCC(=CC1)C(C)C,20.597,136.238,3.308900000000002,0,0,0.0,True
21.0,cis-Sabinene hydrate,CC(C)[C@]12CC[C@@]([C@H]1C2)(C)O,21.013,154.253,2.1935000000000007,1,1,20.23,True
22.0,p-mentha-2.4(8)-diene,CC1CCC(=C(C)C)C=C1,22.12,136.238,3.308900000000002,0,0,0.0,True
23.0,trans-sabinene hydrate,CC(C)[C@@]12CC[C@@]([C@@H]1C2)(C)O,22.649,154.253,2.1935000000000007,1,1,20.23,True
24.0,Linalool,CC(=CCCC(C)(C=C)O)C,22.713,154.25300000000001,2.6698000000000013,1,1,20.23,True
25.0,Fenchol,CC1(C2CCC(C2)(C1O)C)C,23.392,154.253,2.1935000000000002,1,1,20.23,True
26.0,ρ-Menth-2-en-1-ol,CC(C)[C@@H]1CC[C@@](C=C1)(C)O,23.785,154.253,2.359600000000001,1,1,20.23,True
27.0,Chrysanthenone,CC1=CCC2C(=O)C1C2(C)C,23.95,150.22099999999998,2.1776999999999997,0,1,17.07,True
